ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
340542667,Canon bang bang,J. M O'Neill,1991,Sceptre
151006725,Slammerkin,Emma Donoghue,2001,Harcourt
525946241,Picture Maker,Penina Keen Spinka,2002,Dutton Books
394751043,The King Must Die,Mary Renault,1988,Vintage Books USA
2070388425,La Part manquante,Christian Bobin,1994,Gallimard
2221081722,Le scaphandre et le papillon,Jean-Dominique Bauby,1997,R. Laffont
2070388905,Comme un roman,Daniel Pennac,1995,Gallimard
2070756319,Le Dictateur et le hamac,Daniel Pennac,2003,Gallimard
2253138916,Le Rocher de Tanios,Amin Maalouf,1996,LGF
553263579,The Autobiography of Miss Jane Pittman,ERNEST J. GAINES,1982,Bantam
553289411,The Plains of Passage (Earth's Children (Paperback)),JEAN M. AUEL,1991,Bantam
553258559,Dragondrums (Harper Hall Trilogy),Anne McCaffrey,1996,Spectra Books
394717406,Out of Africa,Isak Dinesen,1972,Random House Inc
141300272,It Was a Dark and Stormy Night,Janet Ahlberg,1998,Penguin Uk
9500418606,Poderes extraordinarios,Joseph Finder,1998,Emece Editores
316588032,The Face,Dan McNeill,1998,Little Brown &amp; Co
671892479,Step-By-Step Tai Chi,Master Lam Kam-Chuen,1994,Fireside
60011912,Small Town,Lawrence Block,2003,HarperTorch
044661064X,The First Counsel,Brad Meltzer,2001,Warner Vision
553211803,Middlemarch (Wadsworth Series in Mass Communication),George Eliot,1996,Bantam Books
8439703651,En LA Boca Del Dragon,Ken Follett,2002,Mondadori (IT)
1551666839,Dead Run,Erica Spindler,2003,Mira
374526893,A Sense of Where You Are : Bill Bradley at Princeton,John McPhee,1999,Farrar
1583940634,The Diary of a Teenage Girl: An Account in Words and Pictures,Phoebe Gloeckner,2002,Frog Ltd.
805060200,Boy in the Water,Stephen Dobyns,1999,Henry Holt &amp; Company
312872402,Kushiel's Avatar (Kushiel's Legacy),Jacqueline Carey,2003,Tor Books
312872399,Kushiel's Chosen (Kushiel's Legacy),Jacqueline Carey,2002,Tor Books
765342987,Kushiel's Dart,Jacqueline Carey,2002,Tor Books
451456718,Daughter of the Blood (Black Jewels Trilogy),Anne Bishop,1998,Roc
451456734,Queen of the Darkness (Black Jewels Trilogy),Anne Bishop,2000,Roc
446530522,Cane River,Lalita Tademy,2001,Warner Books
330327917,The Ice House,Minette Walters,1995,Macmillan Pub Ltd
786004886,The Mentor,R. A. Forster,1998,Pinnacle Books
446674346,Cloud Mountain,Aimee Liu,1998,Warner Books
60092963,Adventures of a Scottish Heiress,Cathy Maxwell,2003,Avon
60517611,The Lady in Question,Victoria Alexander,2003,Avon
553802550,The Happiest Baby on the Block : The New Way to Calm Crying and Help Your Baby Sleep Longer,Harvey Karp,2002,Bantam
425192695,Girls of the Summer,Barbara Bretton,2003,Berkley Publishing Group
671468464,King Lear,William Shakespeare,1999,Pocket Books
440241286,Gun Monkeys,VICTOR GISCHLER,2003,Dell
002026478X,AGE OF INNOCENCE (MOVIE TIE-IN),Edith Wharton,1993,Scribner
743407148,Sherlock Holmes vs. Dracula,Loren Estleman,2000,I Books
345447840,The Surgeon,TESS GERRITSEN,2002,Ballantine Books
312977360,The Church of Dead Girls,Stephen Dobyns,2001,St. Martin's Paperbacks
312089449,Muckraking:  Three Landmark Articles,Fitzpatrick,1994,Bedford/St. Martin's
096558383X,20 Years of Censored News,Carl Jensen,1997,Seven Stories Press
140094903,History of News: From the Drum to the Satellite,Mitchell Stephens,1989,Penguin USA
034541103X,A Reporter's Life,Walter Cronkite,1997,Ballantine Books
345425286,News Is a Verb: Journalism at the End of the Twentieth Century (Library of Contemporary Thought),Pete Hamill,1998,Ballantine Books
688179053,Deadlines and Datelines,Dan Rather,2000,Perennial
451201507,Drudge Manifesto,Matt Drudge,2000,New American Library
380760975,Tombley's Walk,Crosland Brown,1991,Harper Mass Market Paperbacks (Mm)
553569791,The Last Innocent Man,PHILLIP M. MARGOLIN,1995,Bantam
038000772X,I'm Ok-You're Ok,Thomas Harris,2004,Harpercollins
044661193X,Basket Case,Carl Hiaasen,2003,Warner Books
446401617,Where Echoes Live,Marcia Muller,1992,Warner Books
345428196,Outfoxed,Rita Mae Brown,2000,Ballantine Books
553208799,Chancellor Manuscript,Robert Ludlum,1981,Bantam Books
821767747,Too Good to Be True,Kasey Michaels,2001,Zebra Books
446512923,Lord of the Dance (The Passover Trilogy),Andrew M. Greeley,1984,Warner Books
60955406,The Peculiar Memories of Thomas Penman,Bruce Robinson,2000,Perennial
380793059,To Bury the Dead,Craig Spector,2000,HarperTorch
440419468,Holes,LOUIS SACHAR,2003,Yearling
446359866,Presumed Innocent,Scott Turow,1989,Warner Books
446602612,The Poet,Michael Connelly,1997,Warner Books
446612790,2nd Chance,James Patterson,2003,Warner Vision
671676253,The ABYSS,Orson Scott Card,1989,Pocket
446606383,The Midnight Club,James Patterson,1999,Warner Vision
553213148,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics
380725584,The Indian in the Cupboard (rack) (Indian in the Cupboard),Lynne Reid Banks,1995,HarperTrophy
679401032,Uh-Oh: Some Observations from Both Sides of the Refrigerator Door,Robert Fulghum,1991,Random House Inc
394580567,It Was on Fire When I Lay Down on It,Robert Fulghum,1989,Random House Inc
394571029,All I Really Need to Know I Learned in Kindergarten: Uncommon Thoughts on Common Things,Robert Fulghum,1988,Villard Books
440128994,God Save the Child,Robert B. Parker,1994,Dell Publishing Company
446365505,Pleading Guilty,Scott Turow,1994,Warner Books
671531409,Midsummer Nights Dream,William Shakespeare,1984,Pocket Books
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
804111898,Uh-Oh: Some Observations from Both Sides of the Refrigerator Door,Robert Fulghum,1993,Ivy Books
25473905,Respect for Acting,Uta  Hagen,1973,John Wiley &amp; Sons
451203895,4 Blondes,Candace Bushnell,2002,Signet Book
345309014,Second Foundation (Foundation Novels (Paperback)),Isaac Asimov,1983,Ballantine Books
345308999,Foundation (Foundation Novels (Paperback)),Isaac Asimov,1983,Del Rey Books
345309006,Foundation and Empire (Foundation Novels (Paperback)),Isaac Asimov,1983,Del Rey Books
553272535,Night,Elie Wiesel,1982,Bantam Books
445406488,The Curse of the Pharaohs,Elizabeth Peters,1988,Warner Books
451209710,The Dewey Decimal System of Love,Josephine Carr,2003,New American Library
312865031,Gravelight,Marion Zimmer Bradley,1997,St Martins Pr
089190672X,Circus,Allistair MacLean,1976,Amereon Ltd
449219631,Jaws,Peter Benchley,1991,Fawcett Books
425104052,The Hound of the Baskervilles,Sir Arthur Conan Doyle,1993,Berkley Publishing Group
425181464,Seduction in Death,J. D. Robb,2001,Berkley Publishing Group
515090298,Catcher in the Wry,Bob Uecker,1988,Jove Books
345438353,A Case of Conscience (Del Rey Impact),James Blish,2000,Del Rey Books
60298774,The Lives of Christopher Chant,Diana Wynne Jones,2001,Greenwillow
449212858,Rutland Place,Anne Perry,1997,Fawcett Books
812505018,The Secret Garden,Frances Hodgson Burnett,1989,Tor Books
553213377,The Three Musketeers (Bantam Classics),ALEXANDRE DUMAS,1984,Bantam Classics
142002054,Diamonds Are Forever: A James Bond Novel,Ian Fleming,2002,Penguin Books
067150987X,Winter's Tale,Mark Helprin,1984,Pocket
345347951,Childhood's End,Arthur C. Clarke,1987,Del Rey Books
425037827,Stranger Strg Lnd,Robert A. Heinlein,1977,Berkley Publishing Group
553574353,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,1996,Bantam Books
786889527,Night Gardening,E. L. Swann,2000,Hyperion
441006345,Fantastic Alice,Margaret Weis,1999,Ace Books
671721380,Wheels Of Fire (Serrated Edge 2),Mercedes Lackey,1992,Baen
446356018,Cradle,Gentry Lee,1989,Warner Books
399136487,Damia (Rowan),Anne McCaffrey,1992,Putnam Pub Group
671720139,BLACK THRONE,Roger Zelazny,1990,Baen
039480001X,The Cat in the Hat,Dr. Seuss,1957,Random House Books for Young Readers
345273303,Another Roadside Attraction,Robbins,1977,Ballantine Books
446365661,Wall of Brass,Robert Daley,1995,Warner Books
749930888,Sisters in Arms,Catherine Jones,1999,Judy Piatkus Publishers Ltd
440201101,More Die of Heartbreak,Saul Bellow,1988,Dell Publishing Company
068484477X,STONES FROM THE RIVER,Ursula Hegi,1997,Touchstone
684853515,Hearts In Atlantis : New Fiction,Stephen King,1999,Scribner
375504397,Black House,Stephen King,2001,Random House Trade
452283205,Falling Angels,Tracy Chevalier,2002,Plume Books
374524912,Coyote V. Acme,Ian Frazier,1997,Noonday Press
316779237,Holidays on Ice : Stories,David Sedaris,1998,Back Bay Books
875427324,Witta: An Irish Pagan Tradition (Llewellyn's World Magic),Edain McCoy,1993,Llewellyn Publications
385421982,The Pelican Brief,JOHN GRISHAM,1992,Doubleday
892962275,Black House,Patricia Highsmith,1988,Mysterious Press
393040135,Love Warps the Mind a Little,John Dufresne,1997,W. W. Norton &amp; Company
679402470,Millroy the Magician,Paul Theroux,1994,Random House Inc
875421180,Wicca: A Guide for the Solitary Practitioner,Scott Cunningham,1988,Llewellyn Publications
055308013X,Private Eyes,Jonathan Kellerman,1992,Bantam Dell Pub Group
8439709498,Vivir Para Contarla,Gabriel Garcia Marquez,2002,Astran Inc
460872125,Pride and Prejudice (Everyman Paperback Classics),Jane Austen,1993,J.M. Dent &amp; Sons
345311965,Pebble in the Sky,Isaac Asimov,1983,Del Rey Books
451139739,Christine,Stephen King,1983,New Amer Library
553236202,Something Wicked This Way Comes,Ray Bradbury,1983,Bantam Doubleday Dell
8807810778,Il bar sotto il mare (Universale economica Feltrinelli),Stefano Benni,1989,Feltrinelli
038072975X,Midnight Champagne : A Novel (Mysteries &amp; Horror),A. Manette Ansay,2000,Perennial
1885167172,Who's Running Your Career?: Creating Stable Work in Unstable Times,Caela Farren,1997,Bard Press (TX)
452261589,The Art and Craft of Feature Writing,William E. Blundell,1988,Plume Books
374230072,Required Reading: Why Our American Classics Matter Now,Andrew Delbanco,1997,Farrar Straus &amp; Giroux
014006690X,The Women of Brewster Place (Penguin Contemporary American Fiction Series),Gloria Naylor,1983,Penguin Books
60975210,The Lover,Marguerite Duras,1992,Harpercollins
374521352,The Dwarf,Par Lagerkvist,1958,Hill and Wang
226424197,French Lessons: A Memoir,Alice Kaplan,1994,University of Chicago Press
316085251,The Boys of My Youth,Jo Ann Beard,1999,Back Bay Books
874771641,Becoming a Writer,Dorothea Brande,1981,Jeremy P. Tarcher
451185560,Fear of Flying,Erica Jong,1996,Signet Book
1853260401,Three Musketeers (Wordsworth Classics),Alexandre Dumas,1997,NTC/Contemporary Publishing Company
773760555,A Circle of Silver (Circle of Silver Chronicles),Maxine Trottier,2000,Fitzhenry &amp; Whiteside Limited
553250531,The Valley of Horses,JEAN M. AUEL,1984,Bantam
553148001,The Clan of the Cave Bear : a novel,Jean M. Auel,1981,Bantam Books
1579542085,Pets' Letters to God,Mark Bricklin,1999,Rodale Press
671720414,Generation Warriors,Anne McCaffrey,1991,Baen
773671358,Our Cops - Their Stories,Iris Gadd,1987,Stoddart
440213525,The Client,John Grisham,1994,Dell Publishing Company
451188462,Desperation,Stephen King,1997,Signet Book
034525855X,A spell for Chameleon (Magic of Xanth),Piers Anthony,1977,Ballantine Books
441135560,Damia (Ace Science Fiction),Anne McCaffrey,1993,ACE Charter
195103793,Managing Your Mind: The Mental Fitness Guide,Gillian Butler,1995,American Philological Association
816303630,It Must Have Been an Angel (Redwood Paperback; 119),Marjorie L. Lloyd,1980,Shelter Publications
811807282,The Secret Language of Dreams: A Visual Key to Dreams and Their Meanings,David Fontana,1994,Chronicle Books
671019449,FLOWERS IN THE ATTIC (Dollanger Saga (Paperback)),V.C. Andrews,1997,Pocket
152105328,The Borrowers Avenged,Mary Norton,1990,Odyssey Classics
439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic
671028367,Deadly Decisions,Kathy Reichs,2001,Pocket Books
28642333,The Complete Idiot's Guide(R) to Understanding Islam,Yahiya Emerick,2001,Penguin Putnam
440235642,Black May : The Epic Story of the Allies' Defeat of the German U-Boats in May 1943,MICHAEL GANNON,1999,Dell
330486705,Louise Brindley Omnibus (Pb),Brindley Louise,2000,Pan Macmillan
670881872,An incidental memoir,Robin Dalton,1998,Penguin Putnam
440111811,Changes,Danielle Steel,1984,Dell
64400557,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy
067166607X,Bambi (Bambi),Felix Salten,1988,Aladdin
3453064038,Incubus. Roman.,Colin Forbes,1993,Heyne
3596134153,Die Klage des Distelfinken.,Anna Maria Ortese,1997,Fischer (Tb.)
3453061187,Die Jury. Roman.,John Grisham,1992,Heyne
3453161394,Der gefallene Engel.,Paul Doherty,2000,Heyne
3257229372,Liebessabotage.,Amelie Nothomb,2001,Diogenes Verlag
3442353793,Des Teufels Kardinal.,Allan Folsom,2000,Goldmann
3746618169,Tango Finale.,Eva Maaser,2002,Aufbau Tb
3257228031,Flamingofeder.,Laurens van der Post,1995,Diogenes Verlag
3548248845,Der Fluch des Falken.,Elizabeth Peters,2000,Ullstein Tb
3446178694,Der Virtuose.,Margriet de Moor,1994,Carl Hanser
3453198840,Der Gesang des Troubadours.,Clara Pierre,2002,Heyne
3746619394,Die Provencalin. Sonderausgabe.,Frederik Berger,2003,Aufbau Tb
3426619857,Verso Casa. Heimwege.,Susanna Tamaro,2002,Droemer Knaur
3499233045,Die Reise nach Karlsbad.,Ruth Berger,2003,Rowohlt Tb.
051604642X,The story of the U.S.S. Arizona (Cornerstones of freedom),R. Conrad Stein,1977,Childrens Press
380803151,Avalanche Soldier,Susan R. Matthews,1999,Eos (HarperCollins)
553568728,Star Wars: The Truce at Bakura (Star Wars (Random House Paperback)),Kathy Tyers,1994,Bantam
884046818,Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,1991,Bridge Publications
345289072,Inherit the Stars,Hogan P.,1979,Del Rey Books
671720406,ROIL OF STARS,Don Wismer,1991,Baen
345379802,Star Wars: The Han Solo Adventures/3 Books in One,Brian Daley,1993,Del Rey Books
886778697,The Faded Sun Trilogy,C. J. Cherryh,2000,Daw Books
743435346,The Warmasters,David Weber,2002,Baen
679448594,Primary Colors: A Novel of Politics,Anonymous,1996,Random House Inc
671867172,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket
425189104,Murder on Mulberry Bend (Gaslight Mystery),Victoria Thompson,2003,Berkley Publishing Group
61030635,Wild Justice,Phillip Margolin,2001,HarperTorch
446613436,The Guardian,Nicholas Sparks,2004,Warner Books
449006530,Midnight Voices,JOHN SAUL,2003,Ballantine Books
006109157X,Dead Eyes,Stuart Woods,1994,HarperTorch
440221315,The Gift,DANIELLE STEEL,1996,Dell
553576011,Send No Flowers,SANDRA BROWN,2000,Bantam
451205294,Fatal Care,Leonard Goldberg,2001,Signet Book
446527785,A Bend in the Road,Nicholas Sparks,2001,Warner Books
375500685,Murder at the Library of Congress,Margaret Truman,1999,Random House Inc
375503218,My Cat Spit McGee,Willie Morris,1999,Random House Inc
755310047,Josephine Cox,Piers Dudgeon,2001,Headline
752851950,The Little Princesses,Marion Crawford,2002,Orion
056353723X,Down to Earth: The Year of the Cornflake (Down to Earth),Faith Addis,2000,BBC Consumer Publishing
185326041X,The Great Gatsby,F. Scott Fitzgerald,1999,Lb May &amp; Assoc Inc
8483109263,Panorama Desde El Puente,Arthur Miller,2004,Tusquets
312272057,Dry: A Memoir,Augusten Burroughs,2003,St. Martin's Press
142003190,A Noble Radiance,Donna Leon,2003,Penguin Books
042518336X,American Fuji,Sara Backer,2002,Berkley Publishing Group
613329740,Quidditch Through the Ages,J. K. Rowling,2001,Sagebrush Education Resources
613325419,Fantastic Beasts and Where to Find Them,J. K. Rowling,2001,Sagebrush Bound
156389470X,Stardust,Neil Gaiman,1999,DC Comics
058253531X,Magic Slippers (New Method Supplementary Readers: Stage 2),B. Lumsden Milne,1988,Addison-Wesley Pub Co (Sd)
836218353,Yukon Ho!,Bill Watterson,1989,Andrews McMeel Publishing
836204387,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,1995,Andrews McMeel Publishing
345441435,Prospero's Children,Jan Siegel,2001,Del Rey Books
812504755,The Legend of Sleepy Hollow,Washington Irving,1990,Tor Books
836217225,Revelations From A 45-Pound Purse,Cathy Guisewite,1993,Andrews McMeel Publishing
30181011,A Kiss on the Nose Turns Anger Aside,Charles M. Schulz,1995,Henry Holt &amp; Company
64407055,Ella Enchanted (Trophy Newbery),Gail Carson Levine,1998,HarperTrophy
689710887,Greenwitch,Susan Cooper,1986,Simon Pulse
689710879,The Dark Is Rising,Susan Cooper,1986,Simon Pulse
836217616,The Child Within Has Been Awakened : A Cathy Collection But the Old Lady on the Outside Just Collapsed (A Cathy Collection),Cathy Guisewite,1994,Andrews McMeel Publishing
441068804,The Blue Sword,Robin McKinley,1991,Ace Books
141309814,The Hero and the Crown,Robin McKinley,2000,Puffin Books
679408835,Dreaming in Cuban,Cristina Garcia,1992,Alfred A. Knopf
316096199,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books
843509975X,La Perla,John Steinbeck,2003,Edhasa
8423970647,No Pasaran! El Videojuego,Chrstine Lehmann,2002,Distribooks Inc
8429710329,Mecanoscrit del segon origen (El Trapezi ; 24),Manuel de Pedrolo,1974,Edicions 62
8449503027,Narraciones Extraordinarias - 1 Seleccion,Edgar Allan Poe,1998,Mateos Ediciones
689829655,Hatchet - Newbery Promo '99,Gary Paulsen,1999,Aladdin
059045899X,Amber Brown Is Not a Crayon (Amber Brown (Paperback)),Paula Danziger,1995,Jump at the Sun
385238614,Girls/Suits/Lunch/PB,DEANNE STILLMAN,1988,Doubleday
1561384755,The Jungle Book,G. C. Barrett,1994,Courage Books
1562820575,Walt Disney's the Jungle Book: Illustrated Classic,Jim Razzi,1992,Disney Pr
